번호,종목코드,종목명,업종코드,업종명,상장주식수,자본금
1,60310,3S,32902,특수 목적용 기계 제조업,44802511,22401255500
2,95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,46822295,46822295000
3,6840,AK홀딩스,116409,기타 금융업,13247561,66237805000
4,54620,APS홀딩스,116409,기타 금융업,20394221,10197110500
5,265520,AP시스템,32902,특수 목적용 기계 제조업,14480227,7240113500
6,211270,AP위성,32604,통신 및 방송 장비 제조업,15014804,7507402000
7,27410,BGF,116409,기타 금융업,95716791,95716791000
8,282330,BGF리테일,74701,종합 소매업,17283906,17283906000
9,138930,BNK금융지주,116409,기타 금융업,325935246,1.62968E+12
10,1460,BYC,31401,봉제의복 제조업,624615,4200000000
11,1040,CJ,116409,기타 금융업,29176998,1.79047E+11
12,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",35100000,17550000000
13,35760,CJ ENM,106002,텔레비전 방송업,21929154,1.10577E+11
14,120,CJ대한통운,84903,도로 화물 운송업,22812344,1.14062E+11
15,11150,CJ씨푸드,31007,기타 식품 제조업,35930773,18065386500
16,97950,CJ제일제당,31007,기타 식품 제조업,15054186,81908095000
17,51500,CJ프레시웨이,74603,음·식료품 및 담배 도매업,11871586,11871586000
18,58820,CMG제약,32102,의약품 제조업,138892244,69446122000
19,23460,CNH,116402,신탁업 및 집합투자업,37200000,93000000000
20,65770,CS,32604,통신 및 방송 장비 제조업,18835150,9417575000
21,83660,CSA 코스믹,32004,기타 화학제품 제조업,37072045,18536022500
22,590,CS홀딩스,116409,기타 금융업,1154482,5772410000
23,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",201173933,1.00587E+11
24,367340,DB금융스팩8호,116409,기타 금융업,6050000,605000000
25,16610,DB금융투자,116601,금융 지원 서비스업,42446389,2.12232E+11
26,5830,DB손해보험,116501,보험업,70800000,35400000000
27,990,DB하이텍,32601,반도체 제조업,44398588,2.22555E+11
28,139130,DGB금융지주,116409,기타 금융업,169145833,8.45729E+11
29,1530,DI동일,74601,상품 중개업,2465609,12328045000
30,210,DL,64102,토목 건설업,15441262,1.11137E+11
31,375500,DL이앤씨,64102,토목 건설업,19358738,1.07363E+11
32,68790,DMS,32902,특수 목적용 기계 제조업,24573061,12286530500
33,4840,DRB동일,116409,기타 금융업,19930000,9965000000
34,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,18538829,9269414500
35,155660,DSR,32402,1차 비철금속 제조업,16000000,8000000000
36,69730,DSR제강,32401,1차 철강 제조업,14400000,7200000000
37,17940,E1,74607,기타 전문 도매업,6860000,34300000000
38,245620,EDGC,137001,자연과학 및 공학 연구개발업,42934531,4293453100
39,37370,EG,74607,기타 전문 도매업,7500000,7500000000
40,79190,EMW,32604,통신 및 방송 장비 제조업,31784197,15892098500
41,365550,ESR켄달스퀘어리츠,126801,부동산 임대 및 공급업,143259000,1.43259E+11
42,7700,F&F,31401,봉제의복 제조업,15400000,7700000000
43,130500,GH신소재,31309,기타 섬유제품 제조업,11000000,5500000000
